id,img_path
TRAIN_TARGET_0000,./train_target_image/TRAIN_TARGET_0000.png
TRAIN_TARGET_0001,./train_target_image/TRAIN_TARGET_0001.png
TRAIN_TARGET_0002,./train_target_image/TRAIN_TARGET_0002.png
TRAIN_TARGET_0003,./train_target_image/TRAIN_TARGET_0003.png
TRAIN_TARGET_0004,./train_target_image/TRAIN_TARGET_0004.png
TRAIN_TARGET_0005,./train_target_image/TRAIN_TARGET_0005.png
TRAIN_TARGET_0006,./train_target_image/TRAIN_TARGET_0006.png
TRAIN_TARGET_0007,./train_target_image/TRAIN_TARGET_0007.png
TRAIN_TARGET_0008,./train_target_image/TRAIN_TARGET_0008.png
TRAIN_TARGET_0009,./train_target_image/TRAIN_TARGET_0009.png
TRAIN_TARGET_0010,./train_target_image/TRAIN_TARGET_0010.png
TRAIN_TARGET_0011,./train_target_image/TRAIN_TARGET_0011.png
TRAIN_TARGET_0012,./train_target_image/TRAIN_TARGET_0012.png
TRAIN_TARGET_0013,./train_target_image/TRAIN_TARGET_0013.png
TRAIN_TARGET_0014,./train_target_image/TRAIN_TARGET_0014.png
TRAIN_TARGET_0015,./train_target_image/TRAIN_TARGET_0015.png
TRAIN_TARGET_0016,./train_target_image/TRAIN_TARGET_0016.png
TRAIN_TARGET_0017,./train_target_image/TRAIN_TARGET_0017.png
TRAIN_TARGET_0018,./train_target_image/TRAIN_TARGET_0018.png
TRAIN_TARGET_0019,./train_target_image/TRAIN_TARGET_0019.png
TRAIN_TARGET_0020,./train_target_image/TRAIN_TARGET_0020.png
TRAIN_TARGET_0021,./train_target_image/TRAIN_TARGET_0021.png
TRAIN_TARGET_0022,./train_target_image/TRAIN_TARGET_0022.png
TRAIN_TARGET_0023,./train_target_image/TRAIN_TARGET_0023.png
TRAIN_TARGET_0024,./train_target_image/TRAIN_TARGET_0024.png
TRAIN_TARGET_0025,./train_target_image/TRAIN_TARGET_0025.png
TRAIN_TARGET_0026,./train_target_image/TRAIN_TARGET_0026.png
TRAIN_TARGET_0027,./train_target_image/TRAIN_TARGET_0027.png
TRAIN_TARGET_0028,./train_target_image/TRAIN_TARGET_0028.png
TRAIN_TARGET_0029,./train_target_image/TRAIN_TARGET_0029.png
TRAIN_TARGET_0030,./train_target_image/TRAIN_TARGET_0030.png
TRAIN_TARGET_0031,./train_target_image/TRAIN_TARGET_0031.png
TRAIN_TARGET_0032,./train_target_image/TRAIN_TARGET_0032.png
TRAIN_TARGET_0033,./train_target_image/TRAIN_TARGET_0033.png
TRAIN_TARGET_0034,./train_target_image/TRAIN_TARGET_0034.png
TRAIN_TARGET_0035,./train_target_image/TRAIN_TARGET_0035.png
TRAIN_TARGET_0036,./train_target_image/TRAIN_TARGET_0036.png
TRAIN_TARGET_0037,./train_target_image/TRAIN_TARGET_0037.png
TRAIN_TARGET_0038,./train_target_image/TRAIN_TARGET_0038.png
