id,img_path,gt_path
TRAIN_SOURCE_0000,./train_source_image/TRAIN_SOURCE_0000.png,./train_source_gt/TRAIN_SOURCE_0000.png
TRAIN_SOURCE_0001,./train_source_image/TRAIN_SOURCE_0001.png,./train_source_gt/TRAIN_SOURCE_0001.png
TRAIN_SOURCE_0002,./train_source_image/TRAIN_SOURCE_0002.png,./train_source_gt/TRAIN_SOURCE_0002.png
TRAIN_SOURCE_0003,./train_source_image/TRAIN_SOURCE_0003.png,./train_source_gt/TRAIN_SOURCE_0003.png
TRAIN_SOURCE_0004,./train_source_image/TRAIN_SOURCE_0004.png,./train_source_gt/TRAIN_SOURCE_0004.png
TRAIN_SOURCE_0005,./train_source_image/TRAIN_SOURCE_0005.png,./train_source_gt/TRAIN_SOURCE_0005.png
TRAIN_SOURCE_0006,./train_source_image/TRAIN_SOURCE_0006.png,./train_source_gt/TRAIN_SOURCE_0006.png
TRAIN_SOURCE_0007,./train_source_image/TRAIN_SOURCE_0007.png,./train_source_gt/TRAIN_SOURCE_0007.png
TRAIN_SOURCE_0008,./train_source_image/TRAIN_SOURCE_0008.png,./train_source_gt/TRAIN_SOURCE_0008.png
TRAIN_SOURCE_0009,./train_source_image/TRAIN_SOURCE_0009.png,./train_source_gt/TRAIN_SOURCE_0009.png
TRAIN_SOURCE_0010,./train_source_image/TRAIN_SOURCE_0010.png,./train_source_gt/TRAIN_SOURCE_0010.png
TRAIN_SOURCE_0011,./train_source_image/TRAIN_SOURCE_0011.png,./train_source_gt/TRAIN_SOURCE_0011.png
TRAIN_SOURCE_0012,./train_source_image/TRAIN_SOURCE_0012.png,./train_source_gt/TRAIN_SOURCE_0012.png
TRAIN_SOURCE_0013,./train_source_image/TRAIN_SOURCE_0013.png,./train_source_gt/TRAIN_SOURCE_0013.png
TRAIN_SOURCE_0014,./train_source_image/TRAIN_SOURCE_0014.png,./train_source_gt/TRAIN_SOURCE_0014.png
TRAIN_SOURCE_0015,./train_source_image/TRAIN_SOURCE_0015.png,./train_source_gt/TRAIN_SOURCE_0015.png
TRAIN_SOURCE_0016,./train_source_image/TRAIN_SOURCE_0016.png,./train_source_gt/TRAIN_SOURCE_0016.png
TRAIN_SOURCE_0017,./train_source_image/TRAIN_SOURCE_0017.png,./train_source_gt/TRAIN_SOURCE_0017.png
TRAIN_SOURCE_0018,./train_source_image/TRAIN_SOURCE_0018.png,./train_source_gt/TRAIN_SOURCE_0018.png
